23.8	0.14	110	23	988
23.8	0.35	115	79	1359
23.7	0.6	120	142	1952
23.7	0.95	125	206	2431
23.6	1.36	130	270	3075
23.4	1.65	135	320	4098
23.4	2.05	140	379	4442
23.3	2.45	145	433	4790
23.2	2.95	150	491	5042
23.1	3.59	155	570	6410
23	4.57	160	676	6836
22.9	5.65	165	775	6950
22.8	6.69	170	871	7406
22.4	8.08	175	990	7925
22.3	8.8	180	1044	9989
